Configuration: SHA-512 8 2 1000
Iteration 305: 0.000009542 0.000121333 0.000134916 0.000189500
Iteration 306: 0.000009416 0.000135792 0.000202584 0.000108500
Iteration 307: 0.000009666 0.000213000 0.000329125 0.000281125
Iteration 308: 0.000040959 0.000421625 0.002280375 0.000137917
Iteration 309: 0.000013709 0.000198959 0.000117792 0.000130750
Iteration 310: 0.000009750 0.000134416 0.000218167 0.000100792
Iteration 311: 0.000009625 0.000199958 0.000139833 0.000115542
Iteration 312: 0.000009833 0.000195458 0.000122500 0.000132250
Iteration 313: 0.000016250 0.000138917 0.000203000 0.000104875
Iteration 314: 0.000009792 0.000212875 0.000173750 0.000073208
Iteration 315: 0.000011458 0.000136334 0.000216916 0.000124916
Iteration 316: 0.000013292 0.000403917 0.000142917 0.000102500
Iteration 317: 0.000012125 0.000128292 0.000209958 0.000114542
Iteration 318: 0.000017792 0.000137666 0.000129708 0.000194000
Iteration 319: 0.000010750 0.000169041 0.000175708 0.000102209
Iteration 320: 0.000010459 0.000200416 0.000186875 0.000060625
Iteration 321: 0.000010541 0.000147625 0.000131333 0.000181458
Iteration 322: 0.000009750 0.000220041 0.000139333 0.000091958
Iteration 323: 0.000010416 0.000177917 0.000188584 0.000083750
Iteration 324: 0.000009416 0.000139834 0.000160584 0.000148916
Iteration 325: 0.000009666 0.000204375 0.000159000 0.000086333
Iteration 326: 0.000009709 0.000214167 0.000163417 0.000068458
Iteration 327: 0.000009500 0.000183792 0.000139625 0.000125833
Iteration 328: 0.000009834 0.000140208 0.000171625 0.000134375
Iteration 329: 0.000009625 0.000218292 0.000177416 0.000099041
Iteration 330: 0.000010458 0.000119125 0.000117709 0.000207417
Iteration 331: 0.000014917 0.000165458 0.000124708 0.000290458
Iteration 332: 0.000015667 0.000150583 0.000202541 0.000103458
Iteration 333: 0.000009666 0.000143500 0.000192416 0.000115125
Iteration 334: 0.000009709 0.000162041 0.000171000 0.000119292
Iteration 335: 0.000009917 0.000269959 0.000184458 0.000053959
Iteration 336: 0.000011625 0.000127417 0.000137959 0.000185542
Iteration 337: 0.000009666 0.000190459 0.000166125 0.000097292
Iteration 338: 0.000010166 0.000130084 0.000210958 0.000107541
Iteration 339: 0.000009958 0.000179458 0.000144541 0.000121875
Iteration 340: 0.000009750 0.000157459 0.000182500 0.000105959
Iteration 341: 0.000009625 0.000124500 0.000169583 0.000152167
Iteration 342: 0.000011500 0.000372667 0.000162292 0.000143750
Iteration 343: 0.000012584 0.000133041 0.000191791 0.000126792
Iteration 344: 0.000009750 0.000175416 0.000116000 0.000228458
Iteration 345: 0.000011292 0.000194292 0.000135625 0.000117583
Iteration 346: 0.000009667 0.000147167 0.000149750 0.000158292
Iteration 347: 0.000009958 0.000127208 0.000228875 0.000119500
Iteration 348: 0.000011334 0.000203292 0.000152625 0.000149166
Iteration 349: 0.000012834 0.000123834 0.000180833 0.000144708
Iteration 350: 0.000010250 0.000140917 0.000222834 0.000605333
Iteration 351: 0.000580167 0.000646334 0.000244166 0.000041250
Iteration 352: 0.000012083 0.000239542 0.000185542 0.000057666
Iteration 353: 0.000009958 0.000316833 0.000764500 0.000062291
Iteration 354: 0.000011667 0.000177500 0.000211542 0.000060292
Iteration 355: 0.000009583 0.000211584 0.000292750 0.000072208
Iteration 356: 0.000011208 0.000262667 0.000217667 0.000156584
Iteration 357: 0.000013875 0.000165041 0.000168000 0.000116708
Iteration 358: 0.000009709 0.000248000 0.000139791 0.000155584
Iteration 359: 0.000010834 0.000456500 0.000294292 0.000216125
Iteration 360: 0.000026083 0.000409791 0.000304000 0.000223458
Iteration 361: 0.000023125 0.000430166 0.000354500 0.000136084
Iteration 362: 0.000021667 0.000658208 0.000836916 0.000234625
Iteration 363: 0.000032083 0.000829792 0.000155208 0.000082834
Iteration 364: 0.000010792 0.000194792 0.000155792 0.000104334
Iteration 365: 0.000009750 0.000177625 0.000138750 0.000134291
Iteration 366: 0.000009709 0.000205042 0.000200792 0.000042333
Iteration 367: 0.000009708 0.000218625 0.000122708 0.000104250
Iteration 368: 0.000014291 0.000175834 0.000151583 0.000144500
Iteration 369: 0.000010709 0.000165208 0.000175583 0.000110541
Iteration 370: 0.000009500 0.000125542 0.000213500 0.000106959
Iteration 371: 0.000009500 0.000180083 0.000122083 0.000149500
Iteration 372: 0.000009542 0.000151541 0.000166042 0.000130542
Iteration 373: 0.000009417 0.000143791 0.000191000 0.000109500
Iteration 374: 0.000009750 0.000145958 0.000157791 0.000142917
Iteration 375: 0.000009666 0.000181084 0.000191083 0.000084333
Iteration 376: 0.000009667 0.000180583 0.000171375 0.000099125
Iteration 377: 0.000009750 0.000148125 0.000137959 0.000159875
Iteration 378: 0.000009500 0.000120958 0.000144750 0.000184167
Iteration 379: 0.000009500 0.000196042 0.000197000 0.000055667
Iteration 380: 0.000009417 0.000144416 0.000199500 0.000102250
Iteration 381: 0.000009458 0.000364834 0.000354167 0.000090208
Iteration 382: 0.000014042 0.000441208 0.000194375 0.000095459
Iteration 383: 0.000010708 0.000187875 0.000156625 0.000100625
Iteration 384: 0.000009416 0.000196917 0.000184209 0.000074625
Iteration 385: 0.000010250 0.000199250 0.000164750 0.000085209
Iteration 386: 0.000009541 0.000121041 0.000148208 0.000175209
Iteration 387: 0.000009583 0.000126375 0.000177750 0.000141791
Iteration 388: 0.000009500 0.000204542 0.000152541 0.000095042
Iteration 389: 0.000009584 0.000199083 0.000183791 0.000071125
Iteration 390: 0.000009625 0.000166416 0.000161292 0.000122125
Iteration 391: 0.000009500 0.000188834 0.000167125 0.000090000
Iteration 392: 0.000009500 0.000197334 0.000209875 0.000038333
Iteration 393: 0.000009625 0.000192292 0.000221125 0.000034917
Iteration 394: 0.000009708 0.000151500 0.000132458 0.000167250
Iteration 395: 0.000009583 0.000218625 0.000194208 0.000035750
Iteration 396: 0.000009666 0.000131291 0.000208917 0.000107791
Iteration 397: 0.000009500 0.000187750 0.000287541 0.000229500
Iteration 398: 0.000012709 0.000126541 0.000399250 0.000218667
Iteration 399: 0.000011375 0.000217791 0.000180875 0.000048667
Iteration 400: 0.000009750 0.000214000 0.000197125 0.000038708
Iteration 401: 0.000009667 0.000220458 0.000143833 0.000087041
Iteration 402: 0.000009750 0.000218250 0.000144000 0.000091083
Iteration 403: 0.000009583 0.000151500 0.000184916 0.000109250
Iteration 404: 0.000009541 0.000125167 0.000157166 0.000163292
Iteration 405: 0.000009500 0.000130959 0.000157042 0.000166500
Iteration 406: 0.000009417 0.000188458 0.000185875 0.000075917
Iteration 407: 0.000009625 0.000183125 0.000160459 0.000103792
Iteration 408: 0.000009541 0.000137208 0.000145708 0.000163000
Iteration 409: 0.000009542 0.000184334 0.000125375 0.000136375
Iteration 410: 0.000009500 0.000136791 0.000154583 0.000156708
Iteration 411: 0.000009542 0.000198333 0.000166333 0.000080375
Iteration 412: 0.000009292 0.000139833 0.000146917 0.000158500
Iteration 413: 0.000009625 0.000155792 0.000182584 0.000107084
Iteration 414: 0.000009584 0.000195000 0.000153375 0.000097750
Iteration 415: 0.000009500 0.000161708 0.000120417 0.000190500
Iteration 416: 0.000044459 0.000216375 0.000158625 0.000078125
Iteration 417: 0.000010708 0.000173708 0.000208875 0.000063459
Iteration 418: 0.000012917 0.000169042 0.000219709 0.000064833
Iteration 419: 0.000009875 0.000135792 0.000179500 0.000138666
Iteration 420: 0.000009667 0.000218583 0.000141459 0.000084500
Iteration 421: 0.000009375 0.000115958 0.000198708 0.000134583
Iteration 422: 0.000009583 0.000206750 0.000142209 0.000102209
Iteration 423: 0.000009459 0.000149083 0.000172125 0.000130625
Iteration 424: 0.000009458 0.000171875 0.000159792 0.000151333
Iteration 425: 0.000009709 0.000151417 0.000195833 0.000113459
Iteration 426: 0.000009417 0.000213958 0.000162209 0.000099000
Iteration 427: 0.000009708 0.000185958 0.000122583 0.000172083
Iteration 428: 0.000009708 0.000188375 0.000214250 0.000048167
Iteration 429: 0.000010084 0.000218167 0.000170166 0.000070459
